Country,ISO3,Military_Change_%,Investment_Direction,GPI_Change,Peace_Outcome,Terrorism_Fatalities_Per_Million_Change,Terrorism_Outcome,Security_Profile,Military_Expenditure_USD_Millions_2020,GPI_Score_2020,Terrorism_Fatalities_Per_Million_2020,Military_Expenditure_USD_Millions_2025,GPI_Score_2025,Terrorism_Fatalities_Per_Million_2025
Nepal,NPL,-11.32675082520818,Significant Decrease,-0.08499999999999996,Improved,-0.17261275013054703,Improved,Improved Peace / Improved Terrorism,483.8182839388797,2.049,0.17261275013054703,429.0173924703246,1.964,0.0
Netherlands,NLD,79.24196694373443,Significant Increase,-0.07500000000000018,Improved,0.0,Stable,Improved Peace / Stable Terrorism,15060.83138264226,1.61,0.0,26995.33040832722,1.535,0.0
New Zealand,NZL,-8.951251778216642,Relatively Stable,-0.06199999999999983,Improved,0.0,Stable,Improved Peace / Stable Terrorism,3177.155675632756,1.41,0.0,2892.760471720968,1.348,0.0
Nicaragua,NIC,16.899805461833147,Significant Increase,-0.06499999999999995,Improved,0.0,Stable,Improved Peace / Stable Terrorism,98.0009554244153,2.124,0.0,114.5629262418793,2.059,0.0
Niger,NER,62.54000829619304,Significant Increase,0.30400000000000027,Deteriorated,14.134396467743546,Deteriorated,Deteriorated Peace / Deteriorated Terrorism,276.820486526574,2.449,11.04664284723762,449.9440417658553,2.753,25.181039314981167
Nigeria,NGA,15.3975591225113,Significant Increase,-0.04499999999999993,Improved,-0.8846028302609503,Improved,Improved Peace / Improved Terrorism,1521.855042308294,2.877,4.042128209755295,1756.183572206633,2.832,3.1575253794943445
North Macedonia,MKD,85.74280174566091,Significant Increase,0.06199999999999983,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,186.3300516593483,1.729,0.0,346.0946584462109,1.791,0.0
Norway,NOR,113.22202779390204,Significant Increase,0.15600000000000014,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,7543.971129165782,1.537,0.0,16085.40821779381,1.693,0.0
Oman,OMN,-8.015636741362197,Relatively Stable,-0.127,Improved,0.0,Stable,Improved Peace / Stable Terrorism,6452.070098044706,1.836,0.0,5934.895596687391,1.709,0.0
Pakistan,PAK,-0.20603234829874756,Relatively Stable,-0.014000000000000234,Improved,3.34368357134465,Deteriorated,Improved Peace / Deteriorated Terrorism,11503.05439269912,2.781,1.1191406211935124,11479.35437960776,2.767,4.462824192538163
Panama,PAN,,Relatively Stable,0.08599999999999985,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,0.0,1.836,0.0,0.0,1.922,0.0
Papua New Guinea,PNG,14.824017998311485,Significant Increase,0.2230000000000001,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,95.32479322013612,1.848,0.0,109.4557577239423,2.071,0.0
Paraguay,PRY,-0.4259097410511334,Relatively Stable,-0.030999999999999917,Improved,0.0,Stable,Improved Peace / Stable Terrorism,407.4942039175749,1.92,0.0,405.7586464088712,1.889,0.0
Peru,PER,-19.89177347804009,Significant Decrease,0.06599999999999984,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,3030.00705806535,2.044,0.0,2427.284917706364,2.11,0.0
Philippines,PHL,28.83390881126367,Significant Increase,-0.09999999999999964,Improved,-0.7887395888085266,Improved,Improved Peace / Improved Terrorism,4889.779723726297,2.163,0.8743655853131707,6299.694350337198,2.063,0.08562599650464407
Poland,POL,127.52517925336984,Significant Increase,0.125,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,18691.61958106226,1.651,0.0,42528.14095716988,1.776,0.0
Portugal,PRT,50.962272719653434,Significant Increase,0.05400000000000005,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,3646.484561627889,1.393,0.0,5504.815968604753,1.447,0.0
Romania,ROU,35.381497422808586,Significant Increase,0.20099999999999985,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,6504.460649029589,1.56,0.0,8805.836225933592,1.761,0.0
Russia,RUS,135.59105004481552,Significant Increase,0.5380000000000003,Deteriorated,0.014517564479378138,Deteriorated,Deteriorated Peace / Deteriorated Terrorism,67165.6897219991,2.852,0.048194380992334425,158236.3536859004,3.39,0.06271194547171256
Rwanda,RWA,26.52887064269944,Significant Increase,-0.050000000000000266,Improved,0.0,Stable,Improved Peace / Stable Terrorism,153.3434299276665,2.184,0.0,194.0237100922556,2.134,0.0
Saudi Arabia,SAU,14.834057176307743,Significant Increase,-0.2589999999999999,Improved,0.0,Stable,Improved Peace / Stable Terrorism,70946.4604791991,2.295,0.0,81470.69899125007,2.036,0.0
Senegal,SEN,35.68798828626239,Significant Increase,0.10699999999999998,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,392.6946781189641,1.866,0.0,532.8395088468358,1.973,0.0
Serbia,SRB,52.36225706350738,Significant Increase,0.06699999999999995,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,1676.277020498554,1.855,0.0,2554.013503068509,1.922,0.0
Sierra Leone,SLE,-22.552600883248342,Significant Decrease,-0.051999999999999824,Improved,0.0,Stable,Improved Peace / Stable Terrorism,38.12597423267061,2.013,0.0,29.5275754311263,1.961,0.0
Singapore,SGP,43.34306640531317,Significant Increase,0.03299999999999992,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,11790.26824179325,1.401,0.0,16900.53203519825,1.434,0.0
Slovakia,SVK,16.20557925987087,Significant Increase,0.07200000000000006,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,2470.71301385525,1.555,0.0,2871.106369599507,1.627,0.0
Slovenia,SVN,72.54737893284342,Significant Increase,0.08200000000000007,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,662.9235654632765,1.319,0.0,1143.857236535036,1.401,0.0
Somalia,SOM,56.70659853684824,Significant Increase,-0.042999999999999705,Improved,-24.168991942915156,Improved,Improved Peace / Improved Terrorism,122.8648720030184,2.888,40.297417764290856,192.5373617125825,2.845,16.1284258213757
South Africa,ZAF,-16.73918242387508,Significant Decrease,-0.0479999999999996,Improved,0.0,Stable,Improved Peace / Stable Terrorism,3598.798573972549,2.272,0.0,2996.389115607469,2.224,0.0
South Sudan,SSD,1090.9933354491704,Significant Increase,-0.13400000000000034,Improved,0.0,Stable,Improved Peace / Stable Terrorism,8.615837392099445,3.216,0.0,102.614049133042,3.082,0.0
Spain,ESP,91.32572428178723,Significant Increase,-0.04400000000000004,Improved,0.0,Stable,Improved Peace / Stable Terrorism,19701.91164933997,1.696,0.0,37694.82516045751,1.652,0.0
Sri Lanka,LKA,-19.70809918464159,Significant Decrease,-0.10099999999999998,Improved,0.0,Stable,Improved Peace / Stable Terrorism,1697.421393424009,2.056,0.0,1362.89190162668,1.955,0.0
Sweden,SWE,121.43484890041643,Significant Increase,0.20600000000000018,Deteriorated,0.09436971411638806,Deteriorated,Deteriorated Peace / Deteriorated Terrorism,6753.260127256794,1.517,0.0,14954.07135864315,1.723,0.09436971411638806
Switzerland,CHE,9.591808784475852,Relatively Stable,-0.1180000000000001,Improved,-0.11576530067084834,Improved,Improved Peace / Improved Terrorism,6526.097572696175,1.465,0.11576530067084834,7152.068372957512,1.347,0.0
Tajikistan,TJK,139.1762184181996,Significant Increase,-0.25299999999999967,Improved,0.46353233518134407,Deteriorated,Improved Peace / Deteriorated Terrorism,91.8842958887564,2.002,0.0,219.7653842269168,1.749,0.46353233518134407
Tanzania,TZA,40.944867426536,Significant Increase,0.06399999999999983,Deteriorated,-0.360816638265477,Improved,Deteriorated Peace / Improved Terrorism,697.7020411904509,1.874,0.360816638265477,983.3752169881167,1.938,0.0
Thailand,THA,-21.903663900623688,Significant Decrease,-0.10599999999999987,Improved,0.1257224566578432,Deteriorated,Improved Peace / Deteriorated Terrorism,7126.915581250103,2.146,0.19541750419352005,5565.859945851899,2.04,0.32113996085136326
Timor Leste,TLS,0.5848252465610574,Relatively Stable,0.01100000000000012,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,47.21912663324838,1.64,0.0,47.49527600700525,1.651,0.0
Togo,TGO,1.2307315600398698,Relatively Stable,0.278,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,189.5733262836635,2.069,0.0,191.9064650396539,2.347,0.0
Trinidad and Tobago,TTO,17.526110173701102,Significant Increase,-0.013000000000000123,Improved,0.0,Stable,Improved Peace / Stable Terrorism,193.8074779369739,1.899,0.0,227.7743900450794,1.886,0.0
Tunisia,TUN,-3.515638382335141,Relatively Stable,0.01200000000000001,Deteriorated,-0.25054165016919494,Improved,Deteriorated Peace / Improved Terrorism,1399.891776308676,2.037,0.25054165016919494,1350.676643709615,2.049,0.0
Türkiye,TUR,57.901940587218725,Significant Increase,0.020999999999999908,Deteriorated,-0.20387438076154996,Improved,Deteriorated Peace / Improved Terrorism,16980.77553788258,2.694,0.20387438076154996,26812.97410107632,2.715,0.0
Uganda,UGA,3.1257326394453133,Relatively Stable,-0.01399999999999979,Improved,0.03892194464777917,Deteriorated,Improved Peace / Deteriorated Terrorism,1161.647802234019,2.351,0.0,1197.957806743847,2.337,0.03892194464777917
Ukraine,UKR,968.7106003186658,Significant Increase,0.7549999999999999,Deteriorated,0.10261573669787075,Deteriorated,Deteriorated Peace / Deteriorated Terrorism,7256.958757801171,2.548,0.0,77555.88750537488,3.303,0.10261573669787075
